Timestamp (UTC),Username,Question,Disease Category,Response Time (s),Sources Used
2026-07-03T03:58:38.443466,testdoctor,What are the risk factors for Leukemia?,cancer,36.09400653839111,medpath_rag_dataset.json (Pg N/A); medpath_rag_dataset.json (Pg N/A); medpath_rag_dataset.json (Pg N/A); medpath_rag_dataset.json (Pg N/A); medpath_rag_dataset.json (Pg N/A)
2026-07-03T04:02:01.685701,testdoctor,What are the risk factors for Leukemia?,cancer,28.814516305923462,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T04:04:44.523939,testdoctor,What are the risk factors for Leukemia?,cancer,50.86196494102478,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T04:07:00.976000,testdoctor,What are the risk factors for Leukemia?,cancer,54.19341278076172,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:11:56.636281,Akhil,What is diabetic nephropathy?,diabetes,79.10297298431396,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:14:08.097147,Akhil,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,54.346312284469604,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:14:09.704085,Akhil,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,51.004321813583374,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:14:11.370668,Akhil,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,46.644994497299194,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:14:13.558901,Akhil,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,42.13379454612732,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T05:14:15.538718,Akhil,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,40.46362829208374,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T07:02:21.397475,Akhil1,What are microvascular vs macrovascular complications of diabetes?,diabetes,64.04025959968567,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T07:04:58.569527,Akhil1,What causes absolute insulin deficiency in Type 1 Diabetes?,diabetes,92.2173171043396,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-03T07:05:59.026044,Akhil1,Describe chemotherapy mechanisms targeting rapidly dividing tumor cells.,cancer,92.89513945579529,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-04T17:03:39.781549,Akhil1,"What is the clinical role of HER2, ER, and PR in breast cancer prognosis?",cancer,83.54826331138611,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
2026-07-04T17:05:44.949721,Akhil1,What are key histopathological differences between SCLC and adenocarcinoma of the lung?,cancer,83.76335453987122,medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1); medpath_rag_dataset.json (Pg 1)
